
         the official results from fallingbostel, germany


            M E K K A   &   S Y M P O S I U M   2 0 0 0


                       - expect nothing -



Wild

01  112  Bitte 8 Bit             Hitmen
02  91   Metro                   tomac / Suburban
03  87   Hau Strange             Haujobb
04  76   Sedative                Arthus (Digital Vortex)
05  65   Helicops sux            cQBs^os
06  55   Peace on Earth          Ramses & Manuela
07  52   Breathless Throath      Deathstar/Haujobb
08  49   A.G.E. Demo             Skywalker of Hitmen
09  38   LIFTOFF                 nuance
10  38   Space/Flowers Team      Def/Floppy^FT
11  38   La Linia                Schwaben Productions
12  33   A Day In Life           Isaac/Contraz
13  32   Man-U-Factory           Greenroom
14  30   Kompromiß            Die Befreiungsarmee
15  29   The Jump                TUM (The Ultimate Mayas)
16  27   Burn PC Burn            Crimson Jihad
17  26   Telepathy 2             Greenroom
18  25   Epos                    Hesequil; Trifox; Shaolin T
19  22   SK1PP3R                 Zed Yago / K2
20  21   huhn 64                 binary brains
21  17   Shrooms by Contine      dZY
22  17   Break & Enter           Bad Karma
23  17   Speed Dreams            Benson, Count Zero & Street Tuff
24  16   X-Trem Moorhuhning      Members of Tusq and Excess
25  15   Tango Jango             Epos / Hesequil; Trifox
26  12   Sabotage                Azzaro / PSB^MAWi
27  11   3D sucks                Animators
28  9    64-Station              Who Knows
29  8    Wild Wild               WildMag Crew
30  6    Eier suchen mit APP     Gax!
31  6    FIZ3NMU                 Anti^Fake
32  2    Dialogos 2K Invitation  Dialogos Team
33  0    Dokumentation           Satan Klaus / Out of Order



SID Music

01  62  Chaos 2000          DJB & GRG
02  55  Freak-Show          Alien/WoW/Surprise Productions
03  54  Logical             Control/dIGITAL
04  50  Draxmania           Glover/Axelerate
05  50  Kill Him!!!         Sad/Anubis/Unreal
06  50  Rohr im Arsch       Rorschach/Padua/Excess/APP
07  48  Bloch-Ziro          Welli
08  47  Drum'n'Bass         Peabrain/Faque
09  45  Edge of Midnight    Eco/Excess
10  41  Finetuning          Fanta/Oxyron & Plush
11  35  Shudder             Perplex/Singular
12  34  O-Noff              Vip/Role/WoW/Padua (CZP)
13  28  Compotune           Odne/Hydrogene
14  28  Invincible          Cosowi/Plush
15  26  Planet X            Devilock
16  22  Albion              Cactus/Axelerate
17  21  Excalibur           Phobos/Axelerate
18  8   Nightlife           Arman
19  7   Crazy chickenblues  Carlos / Cascade
20  3   Liquid Love         SoNiC/Smash-DS
21  3   Try to understand   Fantastic Zool/TUM/SDS
22  3   Das Omen            Andremator
23  2   Boom                Virgill
24  2   Titten              Heinmück/TUM/Blutpopel
25  2   Inside Africa       G. Hultink
26  1   Bzyk's SID          Bzyk/Samar
27  0   6 April 2000        Waz / Padua
28  0   Alles nur gekauft!  Demon/Unction & buffstar/suplex
29  0   Crestfallen         Jenny
30  0   Remember Patience   Manib4
31  0   Cyclone's Birthday  Rayden/Breeze/Cyberpunx



Progressive Music

01  136  Morning Light            wayfinder
02  84   The Joss Tune            phred
03  80   Morning Star - remix     Netpoet / Park
04  79   attitude                 geniuz+nightwatch
05  76   Subsides                 Tom/dtn & Jerry/ctl
06  57   dark face in the mirror  manx of NEVER
07  54   blue                     sr
