1=Born Free                   Loonie / Loop
2=DARIA                       Poison / GotoIO
3=Demon Macaroni              Jisemdu and Caramel / Proxima
4=The Ice Palace              Melomaniac
5=Jimi goes 2 Katmandu        Rez / Eclipse
6=wood moods                  Gerard Hultink / Genetic
7=liquid night                Wax / Ambrosia
8=atomar fusionsfunk          curt cool / depth^k!nky
9=ba'rock2                    Pinocchio / Contraz
10=high on you                Deelite / Balance
11=inside_space_v2            MrC & Sprite / Subspace
12=love affair                Azazel / TBL
13=MOTOWN-FUNK                Yavin / HeatWave
14=nameit                     Tricktrax / puzzle
15=pUre_fUnky_mOtion          TLS / LSD
16=she doesn't know...        Traven / PSY-s
17=The depths of jazz         Trip and Folcka / Depth
18=the_happy_party            Yanic / Heatwave
19=wavecoast                  Virgill / Essence & Artworx
20=OLDSKOOL                   Prodigy / Oops!
21=pulse of life xl           Relief / Puzzle
22=Salsa Con Carne            Mystical / Purple
23=a song for summer          Swallow / Doomsday
